name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model_family,km_per_year,name_frequency
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,9,Skoda,Skoda Superb,14488.888888888889,2.0
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,4,Toyota,Toyota Corolla,12500.0,1.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,5,Toyota,Toyota Innova,16000.0,10.0
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,1,Jeep,Jeep Compass,10000.0,1.0
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,10,Mercedes-Benz,Mercedes-Benz E-Class,11900.0,1.0
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,6,Hyundai,Hyundai i10,10000.0,2.0
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,7,BMW,BMW 3,10828.57142857143,1.0
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,11,Audi,Audi Q7,7090.909090909091,1.0
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,8,Hyundai,Hyundai Elantra,5000.0,2.0
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,6,Mahindra,Mahindra Scorpio,8333.333333333334,6.0
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,6,Honda,Honda City,12333.333333333334,2.0
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,6,Maruti,Maruti Wagon,10666.666666666666,2.0
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,8,Maruti,Maruti Wagon,7500.0,26.0
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,11,Mahindra,Mahindra Scorpio,10909.09090909091,5.0
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,11,Hyundai,Hyundai Santro,7181.818181818182,20.0
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,1,Hyundai,Hyundai Grand,15000.0,8.0
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,14,Maruti,Maruti Alto,5714.285714285715,42.0
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,3,Maruti,Maruti Swift,6166.666666666667,2.0
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,2,Maruti,Maruti Eeco,5100.0,6.0
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,2,Hyundai,Hyundai i20,14500.0,2.0
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,2,Maruti,Maruti Omni,14000.0,1.0
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,4,Maruti,Maruti Swift,11500.0,4.0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,6,Hyundai,Hyundai i20,11666.666666666666,1.0
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,8,Maruti,Maruti Alto,7500.0,42.0
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,24,Mahindra,Mahindra Jeep,1458.3333333333333,2.0
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,6,Honda,Honda City,15000.0,7.0
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,7,Maruti,Maruti Wagon,11428.57142857143,26.0
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,15,Tata,Tata Indica,5333.333333333333,6.0
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,6,Hyundai,Hyundai EON,12216.666666666666,17.0
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,6,Toyota,Toyota Etios,15333.333333333334,7.0
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,11,Maruti,Maruti Alto,6069.454545454545,42.0
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,11,Maruti,Maruti Alto,9090.90909090909,42.0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,10,Chevrolet,Chevrolet Tavera,35000.0,1.0
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,9,Toyota,Toyota Corolla,25555.555555555555,2.0
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,3,Mahindra,Mahindra Scorpio,20000.0,2.0
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,2,Hyundai,Hyundai EON,15500.0,17.0
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,13,Tata,Tata Indigo,3000.0,2.0
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,11,Toyota,Toyota Innova,10909.09090909091,6.0
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,6,Tata,Tata Indica,27666.666666666668,5.0
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,14,Maruti,Maruti Swift,7857.142857142857,10.0
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,3,Ford,Ford EcoSport,11666.666666666666,3.0
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,2,Maruti,Maruti Ciaz,30000.0,1.0
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,13,Honda,Honda Civic,4153.846153846154,3.0
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,10,Hyundai,Hyundai i10,6300.0,7.0
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,6,Skoda,Skoda Rapid,20000.0,1.0
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,15,Hyundai,Hyundai Getz,8000.0,3.0
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,6,Nissan,Nissan Terrano,12666.666666666666,1.0
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,5,Hyundai,Hyundai Grand,16000.0,6.0
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,1,Hyundai,Hyundai Elite,25000.0,1.0
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,4,Honda,Honda Amaze,2989.5,1.0
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,5,Honda,Honda Brio,4000.0,6.0
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,3,Hyundai,Hyundai Creta,3000.0,2.0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,3,Mercedes-Benz,Mercedes-Benz S-Class,2166.6666666666665,1.0
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,5,Mahindra,Mahindra XUV500,14000.0,16.0
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,7,Renault,Renault Duster,17142.85714285714,7.0
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,13,Hyundai,Hyundai Santro,4461.538461538462,2.0
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,7,Mahindra,Mahindra Bolero,8885.714285714286,1.0
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,6,Audi,Audi A6,5666.666666666667,2.0
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,5,Fiat,Fiat Avventura,10600.0,1.0
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,7,Audi,Audi A8,7000.0,1.0
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,3,Datsun,Datsun RediGO,5000.0,2.0
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,7,Volkswagen,Volkswagen Jetta,7142.857142857143,2.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,7,Audi,Audi A4,7571.428571428572,1.0
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,11,Honda,Honda Civic,5772.727272727273,3.0
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,2,Mercedes-Benz,Mercedes-Benz E-Class,4900.0,1.0
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,3,BMW,BMW X1,4333.333333333333,3.0
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,2,Volvo,Volvo V40,10500.0,1.0
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,12,Maruti,Maruti SX4,2431.0833333333335,3.0
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,8,BMW,BMW 7,6000.0,3.0
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,3,Mahindra,Mahindra Bolero,40000.0,11.0
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,10,Hyundai,Hyundai Sonata,10000.0,1.0
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,3,Nissan,Nissan Micra,10000.0,1.0
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,2,Mahindra,Mahindra Xylo,43500.0,7.0
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,1,Hyundai,Hyundai Elite,15000.0,2.0
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,3,Renault,Renault KWID,5333.333333333333,18.0
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,8,Mahindra,Mahindra Xylo,7500.0,1.0
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,10,Maruti,Maruti Wagon,6000.0,21.0
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,9,Maruti,Maruti SX4,12222.222222222223,3.0
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,3,Renault,Renault KWID,8333.333333333334,18.0
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,4,Hyundai,Hyundai Creta,15000.0,1.0
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,6,Maruti,Maruti Swift,13225.0,54.0
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,4,Hyundai,Hyundai Verna,20000.0,2.0
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,6,Mahindra,Mahindra Scorpio,15000.0,2.0
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,13,Maruti,Maruti SX4,6923.076923076923,2.0
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,6,Maruti,Maruti Ertiga,20000.0,11.0
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,7,Chevrolet,Chevrolet Beat,8571.42857142857,3.0
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,16,Maruti,Maruti Zen,3125.0,9.0
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,2,Maruti,Maruti Baleno,10000.0,6.0
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,13,Maruti,Maruti Swift,8461.538461538461,12.0
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,8,Tata,Tata Nano,6250.0,4.0
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,8,Toyota,Toyota Innova,12500.0,1.0
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,4,Maruti,Maruti Ertiga,17500.0,8.0
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,4,Hyundai,Hyundai Creta,17500.0,7.0
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,4,Honda,Honda Amaze,12500.0,2.0
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,10,Tata,Tata Indica,8100.0,6.0
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,8,Chevrolet,Chevrolet Tavera,15000.0,1.0
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,5,Chevrolet,Chevrolet Cruze,720.0,8.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,5,Ford,Ford Figo,2854.4,3.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,3,Ford,Ford EcoSport,16404.333333333332,6.0
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,5,Hyundai,Hyundai i10,8000.0,4.0
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,22,Maruti,Maruti 800,1818.1818181818182,10.0
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,8,Chevrolet,Chevrolet Spark,10000.0,12.0
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,5,Hyundai,Hyundai EON,14000.0,28.0
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,9,Tata,Tata Indica,7777.777777777777,4.0
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,17,Hyundai,Hyundai Santro,3352.9411764705883,3.0
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,4,Tata,Tata Bolt,30000.0,2.0
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,15,Maruti,Maruti 800,2000.0,6.0
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,7,Hyundai,Hyundai EON,462.85714285714283,28.0
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,5,Hyundai,Hyundai i20,1000.0,3.0
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,2,Hyundai,Hyundai i20,5000.0,3.0
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,5,Maruti,Maruti Ciaz,20000.0,2.0
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,4,Hyundai,Hyundai i20,20000.0,10.0
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,18,Hyundai,Hyundai Santro,3888.8888888888887,1.0
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,2,Maruti,Maruti Vitara,17500.0,4.0
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,13,Hyundai,Hyundai Santro,8769.23076923077,5.0
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,12,Hyundai,Hyundai Getz,4481.0,3.0
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,8,Mahindra,Mahindra Quanto,17500.0,4.0
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,5,Chevrolet,Chevrolet Tavera,24000.0,1.0
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,8,Hyundai,Hyundai EON,7500.0,17.0
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,4,Renault,Renault KWID,6250.0,18.0
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,6,Maruti,Maruti Wagon,15000.0,1.0
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,0,Maruti,Maruti Wagon,120000.0,15.0
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,5,Chevrolet,Chevrolet Enjoy,35000.0,2.0
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,9,Chevrolet,Chevrolet Spark,11111.111111111111,12.0
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,6,Honda,Honda City,6000.0,1.0
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,7,Honda,Honda Amaze,4285.714285714285,7.0
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,10,Jaguar,Jaguar XJ,4000.0,1.0
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,7,Honda,Honda Brio,10000.0,2.0
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Swift,20000.0,1.0
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,9,Tata,Tata Indigo,17277.777777777777,9.0
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,9,Hyundai,Hyundai i10,5555.555555555556,1.0
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,4,Chevrolet,Chevrolet Beat,10000.0,11.0
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,5,Maruti,Maruti Swift,20000.0,28.0
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,8,Maruti,Maruti Alto,10000.0,42.0
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,9,Chevrolet,Chevrolet Beat,10000.0,11.0
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,7,Renault,Renault Duster,12857.142857142857,8.0
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,14,Hyundai,Hyundai Santro,7857.142857142857,7.0
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,1,Maruti,Maruti Swift,15000.0,2.0
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,13,Maruti,Maruti 800,7692.307692307692,20.0
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,0,Maruti,Maruti Alto,40000.0,1.0
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,16,Maruti,Maruti 800,3750.0,2.0
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,7,Tata,Tata Nano,3571.4285714285716,3.0
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,4,Hyundai,Hyundai i20,6250.0,3.0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,5,Skoda,Skoda Rapid,4600.0,1.0
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,2,Maruti,Maruti Alto,11077.5,20.0
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,2,Maruti,Maruti Ciaz,35000.0,1.0
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,11,Maruti,Maruti Alto,5454.545454545455,30.0
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,11,Hyundai,Hyundai i20,10000.0,3.0
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,2,Tata,Tata Nexon,15000.0,2.0
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,1,Mahindra,Mahindra Bolero,15000.0,11.0
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,17,Maruti,Maruti Zen,5882.35294117647,1.0
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,4,Volkswagen,Volkswagen Vento,17500.0,1.0
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Eeco,8000.0,5.0
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,15,Honda,Honda City,8000.0,3.0
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,7,Mercedes-Benz,Mercedes-Benz New,5000.0,2.0
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,13,Maruti,Maruti SX4,6029.2307692307695,2.0
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,8,Renault,Renault Duster,13750.0,8.0
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,10,Ford,Ford Figo,9000.0,14.0
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,9,Ford,Ford Figo,10000.0,14.0
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,11,Maruti,Maruti Swift,13636.363636363636,10.0
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,11,Mahindra,Mahindra Xylo,20909.090909090908,4.0
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,14,Maruti,Maruti Esteem,5000.0,3.0
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,3,Maruti,Maruti Swift,26787.333333333332,28.0
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,8,Hyundai,Hyundai i20,13750.0,6.0
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,8,Chevrolet,Chevrolet Beat,7500.0,14.0
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,5,Chevrolet,Chevrolet Cruze,10000.0,4.0
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,6,Nissan,Nissan Micra,6666.666666666667,5.0
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,3,BMW,BMW 5,13333.333333333334,3.0
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,7,Chevrolet,Chevrolet Enjoy,2857.1428571428573,2.0
Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,6,Hyundai,Hyundai EON,9166.666666666666,3.0
